audit_id,user_id,role,action,patient_id,timestamp,record_type,record_id,actions_per_hour,unique_patients_accessed,off_hours_flag,untreated_patient_ratio,record_type_entropy,rapid_edit_flag,cross_role_action_flag,session_duration_minutes,is_anomaly
1,PATUSER_016,patient,view_own_record,1290bba5-c164-4273-9694-c3ce92270ef2,2026-05-01 11:53:31,medical_record,MEDICAL_RECORD_9928,3,1,0,0.0,0.971,0,0,56.55,0
2,PATUSER_002,patient,view_queue,219c0f88-2190-9af2-4122-bcf1c4f4a0bf,2026-04-15 09:43:38,queue,QUEUE_8527,3,1,0,0.0,1.53,0,0,16.18,0
3,PATUSER_010,patient,cancel_appointment,a2ff83e0-2cc0-50a4-b008-52a1add72ced,2026-04-30 06:39:14,appointment,APPOINTMENT_4814,1,3,0,0.0,1.5,0,0,49.0,0
4,DOC_007,doctor,view_record,2d457e3d-90cb-357e-f7e0-3014068d2f29,2026-05-02 08:06:39,medical_record,MEDICAL_RECORD_1916,16,8,0,0.08,1.95,0,0,23.69,0
5,DOC_015,doctor,update_diagnosis,1c39de5b-289a-3a1a-669b-2f756efb8bcb,2026-04-07 06:08:00,condition,CONDITION_9348,17,11,0,0.01,1.495,0,0,44.7,0
6,PATUSER_007,patient,view_queue,a992fe7d-cd9b-0ace-6e0b-f6f0b5f01fc3,2026-05-02 00:30:53,queue,QUEUE_5315,1,1,1,0.0,1.854,0,0,60.45,0
7,PATUSER_008,patient,book_appointment,7225d50f-9363-214e-02d6-3fdc2a246bdc,2026-04-03 08:50:17,appointment,APPOINTMENT_2403,1,3,0,0.0,1.825,0,0,49.73,0
8,PATUSER_022,patient,book_appointment,4ca3be26-4f97-27f0-32fa-6ea155eba23a,2026-04-10 02:00:24,appointment,APPOINTMENT_4681,5,1,1,0.0,1.846,0,0,38.27,0
9,DOC_005,doctor,view_record,d5d8b210-bca5-a9ce-0711-3d09468bfe47,2026-04-08 09:31:26,medical_record,MEDICAL_RECORD_8749,22,10,0,0.13,1.837,1,0,54.55,0
10,PATUSER_027,patient,view_queue,a8bef5c2-6743-79e8-8477-bc3b6244c334,2026-05-19 02:12:32,queue,QUEUE_5073,1,3,1,0.0,1.522,0,0,34.65,0
11,DOC_013,doctor,view_record,2d457e3d-90cb-357e-f7e0-3014068d2f29,2026-04-22 08:18:24,medical_record,MEDICAL_RECORD_3724,9,16,0,0.04,0.722,0,0,66.21,0
12,PATUSER_002,patient,view_queue,8db9c819-1c0b-c9a9-3e31-4b85f52201d2,2026-04-10 04:26:19,queue,QUEUE_1936,4,1,1,0.0,1.981,0,0,5.15,0
13,DOC_004,doctor,view_record,668a10b4-c005-0df3-522e-b068e0d29ea9,2026-05-02 08:31:12,medical_record,MEDICAL_RECORD_4910,21,8,0,0.01,1.846,0,0,64.59,0
14,NUR_002,nurse,register_walkin,ad37dc95-561f-9348-6577-eff9b22d47c2,2026-04-23 11:06:05,appointment,APPOINTMENT_2127,28,15,0,0.05,1.522,0,0,70.5,0
